Date,Open,High,Low,Close,Volume,Share_Name,Tomorrow,Target,Close_Ratio_2,Trend_2,Close_Ratio_5,Trend_5,Close_Ratio_60,Trend_60,Close_Ratio_250,Trend_250,Close_Ratio_1000,Trend_1000
2009-07-13 00:00:00-04:00,19.19262264854648,20.180575104820264,19.0477234072084,20.101539611816406,2231750,EXPE,20.83921432495117,1,1.0231310316419822,2.0,1.0631181740983318,3.0,1.0301876019841758,31.0,1.241546524709048,118.0,0.7651603054847614,489.0
2009-07-14 00:00:00-04:00,19.996162194356938,20.970941848479907,19.89078067803265,20.83921432495117,3059350,EXPE,21.77447891235352,1,1.0180181027998187,2.0,1.0719610181080197,4.0,1.0631958534004227,31.0,1.2887689638009254,118.0,0.7935994401714825,489.0
2009-07-15 00:00:00-04:00,21.010460984400947,22.222351014301044,20.87873470845846,21.77447891235352,3421500,EXPE,22.06427955627441,1,1.0219475130257802,2.0,1.0792636936030713,5.0,1.1038275784684104,32.0,1.348181705836204,118.0,0.8295370450453531,490.0
2009-07-16 00:00:00-04:00,21.70861593953294,22.14331507805232,21.260743795301583,22.06427955627441,2057600,EXPE,21.93254852294922,0,1.0066106033574898,2.0,1.0610669404885704,5.0,1.1121318242834195,32.0,1.3672132391124288,119.0,0.8408834499920416,491.0
2009-07-17 00:00:00-04:00,22.156484559444525,22.27503907950048,21.73495849368713,21.93254852294922,1389150,EXPE,22.72290802001953,1,0.9970058970367593,1.0,1.027650873394552,4.0,1.0994695061057698,31.0,1.3598896908061802,119.0,0.8361745724218161,490.0
2009-07-20 00:00:00-04:00,21.958891503034543,22.88098152913406,21.761301501011275,22.72290802001953,2015500,EXPE,23.368379592895508,1,1.0176990575901919,1.0,1.0391564665036874,4.0,1.1315926131662855,32.0,1.4093780321619236,120.0,0.8666028353760828,491.0
2009-07-21 00:00:00-04:00,22.86781788216579,23.42107162165349,22.722917315575565,23.368379592895508,2760750,EXPE,23.3156852722168,0,1.0140041991947977,2.0,1.0445126753727685,4.0,1.1555249810041313,32.0,1.4498964278790794,120.0,0.8915153322126975,491.0
2009-07-22 00:00:00-04:00,23.3156852722168,23.86893889770141,22.94684868439582,23.3156852722168,2356200,EXPE,24.185083389282227,1,0.9988712568018454,1.0,1.027993994643322,3.0,1.1440145161222752,32.0,1.446773619563594,120.0,0.8898023831330729,490.0
2009-07-23 00:00:00-04:00,22.88098610039849,24.540744458982378,22.88098610039849,24.185083389282227,2974150,EXPE,24.303634643554688,1,1.0183028220713848,1.0,1.0467503191940901,3.0,1.1764581337527404,33.0,1.5005248449343136,121.0,0.9232455314142456,491.0
2009-07-24 00:00:00-04:00,24.040179615375152,24.422189154986143,23.53961807682606,24.303634643554688,1712250,EXPE,24.05335235595703,0,1.0024449244913463,2.0,1.0307261637096237,4.0,1.1723838110795428,33.0,1.507352902734289,122.0,0.9280231253265743,492.0
2009-07-27 00:00:00-04:00,24.06652535847181,24.514397394001165,23.80307033316279,24.05335235595703,1506750,EXPE,24.817371368408203,1,0.994824278700404,1.0,1.0087281746041903,3.0,1.1546243173521924,32.0,1.4919323527013235,121.0,0.9187129762202854,492.0
2009-07-28 00:00:00-04:00,23.974319224044063,24.88323387500156,23.6976911688661,24.817371368408203,3296300,EXPE,24.15874290466309,0,1.0156334703934466,1.0,1.028272021721513,3.0,1.1862361668819845,32.0,1.5394169610915505,121.0,0.948110620064824,493.0
2009-07-29 00:00:00-04:00,24.73834266975428,24.777859179593825,23.803079241141607,24.15874290466309,2752400,EXPE,26.977703094482425,1,0.9865520473904308,1.0,0.9940381751046917,3.0,1.1513233588530798,31.0,1.4991650402221244,120.0,0.9231419618793945,493.0
2009-07-30 00:00:00-04:00,25.871195515265867,28.018348144279077,25.68677842289459,26.977703094482425,4928150,EXPE,27.280664443969727,1,1.0551262438118292,1.0,1.0850908427405295,3.0,1.2794007004190806,31.0,1.6734000522009382,121.0,1.0310335698370412,493.0
2009-07-31 00:00:00-04:00,26.95134689628785,27.89978304160749,26.780102876990416,27.280664443969727,2700000,EXPE,28.01833724975586,1,1.0055836797757065,2.0,1.0716131915668732,3.0,1.2866949502945237,32.0,1.6911698806085327,122.0,1.0427691079149475,494.0
2009-08-03 00:00:00-04:00,27.60998168615338,28.28178977749022,27.33335615515828,28.01833724975586,1719350,EXPE,28.308141708374023,1,1.013339712891595,2.0,1.0673423035841487,4.0,1.3129494403101867,33.0,1.7359070645642278,122.0,1.0710520092529965,495.0
